task,lookback,horizon,horizon_step,model,variant,RMSE,MAE,sMAPE
ENERGY,168,72,53,CNN,baseline,535.6357558674465,343.1678725476872,70.38279716523449
ENERGY,168,72,54,CNN,baseline,535.7855982701836,344.4121758830549,70.42224169924744
ENERGY,168,72,55,CNN,baseline,537.0269119620035,346.2713172822744,70.68746164397692
ENERGY,168,72,56,CNN,baseline,537.0030949032889,346.3457824378347,70.52315243280462
ENERGY,168,72,57,CNN,baseline,532.0676774240549,340.2849519211344,70.5461131106538
ENERGY,168,72,58,CNN,baseline,535.4695900211402,342.05499841165647,70.75748379506025
ENERGY,168,72,59,CNN,baseline,534.1810728627977,342.2378719009492,70.16631440374245
ENERGY,168,72,60,CNN,baseline,534.7866824904406,342.8313239695366,70.29584120438153
ENERGY,168,72,61,CNN,baseline,536.6281418045985,342.6835360660759,70.35565116181037
ENERGY,168,72,62,CNN,baseline,538.0482714087439,342.6560070263062,70.38067634450384
ENERGY,168,72,63,CNN,baseline,535.7230487590631,342.0988288603101,70.18074038044979
